ENL_ID,PI_ID,INC_AUTHOR,INC_PUBYEAR,GRIFFIN,CAMERON,BATTLE,EXCLUSION,SPECIES,REGION,COUNTRY,ACD_LOCATION,LAT,LONG,LATLONG_SOURCE,GEOPOS_NOTES,EPIZONE,BATTLEZONE,START_MONTH,START_YEAR,END_MONTH,END_YEAR,TIME,TIME_CAT,FREQ_ACD,FREQ_ACD_NUM,PCD,POP,d,PYO,PYO_APPR,INC,INC_NOTES,DIAGNOSTIC,CLINICAL_DEF,CASE_DENS_THRESH,INC_LAR,INC_UAR,EIR,INTERVENTION,PR_AUTHOR,PR_PUBYEAR,PR_MONTH,PR_YEAR,N_SURVEYS,PR_LAR,PR_UAR,AGE_MATCH,N,N_POS,N_POS_ADJ,PR,PR_NOTES,PR_DIAGNOSTIC,PfPR2_10,PvPR1_99,MAPPR_Stand,PapPR_Stand,PR_Stand,RefACD,PMID,RefPR,PMID_PR
4706,4706_01,Ernst,2006,No,No,No,PCD,Pf,Africa+,Kenya,Kipsamoite,0.3229,34.9991,Pers. Comm.,NA,7,Sub-Saharan Africa,NA,2001,NA,2001,1,12 mo,Weekly*,7,Yes,3100,136,3100,1,44,Used data from first paragraph of results. Used POP from methods and estimated growth by 200 people per year. PYO=POP*TIME and d estimated from PYO and y.,Microscopy,"Pf positive slide with another symptom of malaria (fever, chills, severe malaise, headache, and vomiting for children)",1,0,85,NA,None,John,2005,8,2001,1,0,85,1,152,2,2,0.0132,Used values from Table 1,Microscopy,0.024021,0.00264208,0.019920397,0.0132,0.0132,"Ernst, K.C., Adoka, S.O., Kowuor, D.O., Wilson, M.L. & John, C.C. Malaria hotspot areas in a highland Kenya site are consistent in epidemic and non-epidemic years and are associated with ecological factors. Malar J 5, 78 (2006).",16970824,"John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. & Ofulla, A.V. Low prevalence of Plasmodium falciparum infection among asymptomatic individuals in a highland area of Kenya. Trans R Soc Trop Med Hyg 99, 780-6 (2005).",16085173
4706,4706_02,Ernst,2006,No,No,No,PCD,Pf,Africa+,Kenya,Kipsamoite,0.3229,34.9991,Pers. Comm.,NA,7,Sub-Saharan Africa,NA,2002,NA,2002,1,12 mo,Weekly*,7,Yes,3300,419,3300,1,127,Used data from first paragraph of results. Used POP from methods and estimated growth by 200 people per year. PYO=POP*TIME and d estimated from PYO and y.,Microscopy,"Pf positive slide with another symptom of malaria (fever, chills, severe malaise, headache, and vomiting for children)",1,0,85,NA,None,John,2005,5,2002,1,0,85,1,228,18,18,0.0789,Used values from Table 1,Microscopy,0.024021,0.00264208,0.019920397,0.0789,0.0789,"Ernst, K.C., Adoka, S.O., Kowuor, D.O., Wilson, M.L. & John, C.C. Malaria hotspot areas in a highland Kenya site are consistent in epidemic and non-epidemic years and are associated with ecological factors. Malar J 5, 78 (2006).",16970824,"John, C.C., McHugh, M.M., Moormann, A.M., Sumba, P.O. & Ofulla, A.V. Low prevalence of Plasmodium falciparum infection among asymptomatic individuals in a highland area of Kenya. Trans R Soc Trop Med Hyg 99, 780-6 (2005).",16085173
4706,4706_03,Ernst,2006,No,No,No,PCD,Pf,Africa+,Kenya,Kipsamoite,0.3229,34.9991,Pers. Comm.,NA,7,Sub-Saharan Africa,NA,2003,NA,2003,1,12 mo,Weekly*,7,Yes,3500,217,3500,1,62,Used data from first paragraph of results. Used POP from methods and estimated growth by 200 people per year. PYO=POP*TIME and d estimated from PYO and y.,Microscopy,"Pf positive slide with another symptom of malaria (fever, chills, severe malaise, headache, and vomiting for children)",1,0,85,NA,None,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.024021,0.00264208,0.019920397,NA,0.019920397,"Ernst, K.C., Adoka, S.O., Kowuor, D.O., Wilson, M.L. & John, C.C. Malaria hotspot areas in a highland Kenya site are consistent in epidemic and non-epidemic years and are associated with ecological factors. Malar J 5, 78 (2006).",16970824,NA,
4706,4706_04,Ernst,2006,No,No,No,PCD,Pf,Africa+,Kenya,Kipsamoite,0.3229,34.9991,Pers. Comm.,NA,7,Sub-Saharan Africa,NA,2004,NA,2004,1,12 mo,Weekly*,7,Yes,3700,152,3700,1,41,Used data from first paragraph of results. Used POP from methods and estimated growth by 200 people per year. PYO=POP*TIME and d estimated from PYO and y.,Microscopy,"Pf positive slide with another symptom of malaria (fever, chills, severe malaise, headache, and vomiting for children)",1,0,85,NA,None,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.024021,0.00264208,0.019920397,NA,0.019920397,"Ernst, K.C., Adoka, S.O., Kowuor, D.O., Wilson, M.L. & John, C.C. Malaria hotspot areas in a highland Kenya site are consistent in epidemic and non-epidemic years and are associated with ecological factors. Malar J 5, 78 (2006).",16970824,NA,
6626,6626_01,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,238,13,50.48,0,257.53,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,0,85,NA,None,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004271246,NA,0.004271246,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
6626,6626_02,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,47,2,10.24,0,195.31,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,0,5,NA,None,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004709383,NA,0.004709383,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
6626,6626_03,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,191,11,40.24,0,273.36,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,5,85,NA,None,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004142788,NA,0.004142788,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
6626,6626_04,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,234,6,49.787,0,120.51,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,0,85,NA,Shukas,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004271246,NA,0.004271246,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
6626,6626_05,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,50,4,10.926,0,366.1,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,0,5,NA,Shukas,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004709383,NA,0.004709383,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
6626,6626_06,Macintyre,2003,No,No,No,PCD,Pf,Africa+,Kenya,Ngilai,1.2206,37.3264,Other,NA,7,Sub-Saharan Africa,NA,NA,NA,NA,0.33,<6 mo,Fortnightly,14,No,184,2,38.8614,0,51.46,Table 1 for POP and Table 2 for incidence (converted incidence to person years and then determined PYO).,Microscopy,Pf positive slide,1,5,85,NA,Shukas,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,No PR data given,NA,0.00515048,0.00263855,0.004142788,NA,0.004142788,"Macintyre, K. et al. A new tool for malaria prevention?: Results of a trial of permethrin-impregnated bedsheets (shukas) in an area of unstable transmission. Int J Epidemiol 32, 157-60 (2003).",12690029,NA,
